City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
374,Georgetown,MY,89.55,few clouds,5.4112,100.3354,George Town
375,Qandala,SO,86.25,broken clouds,11.472,49.8728,Qandala
376,Cuencame,MX,78.8,overcast clouds,24.8711,-103.6964,Cuencamé
377,Guthrie,US,86.67,clear sky,35.8789,-97.4253,Guthrie
378,Campo Maior,BR,75.76,broken clouds,-4.8278,-42.1686,Campo Maior
379,Havelock,US,82.94,broken clouds,34.8791,-76.9013,Havelock
381,Fort Morgan,US,81.82,clear sky,40.2503,-103.8,Fort Morgan
383,Ulaangom,MN,73.9,clear sky,49.9811,92.0667,Ulaangom
384,Acarau,BR,77.05,few clouds,-2.8856,-40.12,Acaraú
385,Lhokseumawe,ID,87.46,overcast clouds,5.1801,97.1507,Lhokseumawe
386,Zhangye,CN,87.91,few clouds,38.9342,100.4517,Zhangye
388,Moranbah,AU,78.96,clear sky,-22.0016,148.0466,Moranbah
389,Caohe,CN,82.0,overcast clouds,30.2297,115.4335,Huanggang
391,Sosua,DO,78.78,few clouds,19.7667,-70.5167,Sosúa
393,Quzhou,CN,89.29,scattered clouds,28.9594,118.8686,Quzhou
395,Bilma,NE,86.07,overcast clouds,18.6853,12.9164,Bilma
400,East Stroudsburg,US,72.84,overcast clouds,40.9995,-75.1813,Stroudsburg
401,Kandrian,PG,82.94,light rain,-6.2167,149.55,Kandrian
402,Vilyuysk,RU,76.96,few clouds,63.7553,121.6247,Vilyuysk
403,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Port Moresby
404,Avera,US,82.27,light rain,33.194,-82.5271,Avera
408,Darhan,MN,72.88,broken clouds,49.4867,105.9228,Darkhan
411,Nanzhang,CN,85.19,light rain,31.7765,111.8386,Xiangyang
412,Langham,CA,78.03,broken clouds,52.3668,-106.9679,Langham
417,Jiwani,PK,82.69,overcast clouds,25.05,61.7417,Jīwani
422,Koson,UZ,82.72,clear sky,39.0375,65.585,Kasan
423,Iracoubo,GF,77.23,clear sky,5.4802,-53.2011,Iracoubo
426,Vanimo,PG,83.57,scattered clouds,-2.6741,141.3028,Vanimo
428,Hambantota,LK,86.34,overcast clouds,6.1241,81.1185,Hambantota
429,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Porto-Novo
430,Gradistea,RO,74.1,clear sky,44.2333,27.2167,Călărași
434,Tres Picos,MX,78.55,broken clouds,15.8667,-93.5333,Tres Picos
435,Manaure,CO,81.5,broken clouds,11.7751,-72.4445,Manaure
437,Erzin,TR,83.12,clear sky,36.9559,36.2,Erzin
438,Shimoda,JP,84.56,overcast clouds,34.6667,138.95,Shimoda
439,Santa Rosa,PH,81.91,moderate rain,14.3122,121.1114,Santa Rosa
440,Puerto Escondido,MX,77.83,broken clouds,15.85,-97.0667,Puerto Escondido
441,Gigmoto,PH,87.55,overcast clouds,13.7796,124.39,Gigmoto
442,Mokhsogollokh,RU,75.6,few clouds,61.4681,128.9203,
444,Price,US,78.06,clear sky,39.5994,-110.8107,Price
445,Xam Nua,LA,82.22,overcast clouds,20.4197,104.0439,Sam Nuea
449,Niceville,US,81.95,overcast clouds,30.5169,-86.4822,Valparaiso
450,Alta Floresta,BR,71.04,clear sky,-9.8756,-56.0861,Alta Floresta
451,Doha,QA,94.98,haze,25.2867,51.5333,Doha
455,Old Saybrook,US,74.39,scattered clouds,41.2918,-72.3762,Essex
457,Baghdad,IQ,89.51,clear sky,33.3406,44.4009,Baghdad
458,Venkatagiri,IN,86.47,overcast clouds,13.9667,79.5833,Venkatagiri
460,Karratha,AU,78.28,few clouds,-20.7377,116.8463,Karratha
466,Sterling,US,79.16,clear sky,39.0062,-77.4286,Sterling
467,Trairi,BR,76.55,few clouds,-3.2778,-39.2689,Trairi
468,Avenal,US,94.82,clear sky,36.0041,-120.129,Avenal
